index,name,type,material,display_name_german
0,arrow_load,arrow,red,Last
1,lines_sut_strut,lines,green,Druckstreben
2,lines_sut_tie,lines,blue,Zugstreben
3,mesh_load,mesh,red,Last
4,mesh_reinforcement_flange_long,mesh,steel,Längsbewehrung Flansch
5,mesh_reinforcement_web_long,mesh,steel,Längsbewehrung Steg
6,mesh_reinforcement_secondary,mesh,steel,Konstruktive Bewehrung
7,mesh_reinforcement_stirrups,mesh,steel,Bügelbewehrung
8,mesh_reinforcement_transverse_lower,mesh,steel,Untere Querbewehrung Flansch
9,mesh_reinforcement_transverse_upper,mesh,steel,Obere Querbewehrung Flansch
10,mesh_slab_strip,mesh,yellow,Plattenstreifen in Querrichtung
11,mesh_supports_multiple,mesh,concrete,Auflager (3 Plattenbalken)
12,mesh_supports_single,mesh,concrete,Auflager (1 Plattenbalken)
13,mesh_tbeam_effective,mesh,concrete,Mittragende Plattenbreite
14,mesh_tbeam_multiple,mesh,concrete,Mehrere Plattenbalken
15,mesh_tbeam_single,mesh,concrete,Enzelner Plattenbalken
16,mesh_transverse_bending,mesh,orange,Querbiegung in Platte
