Steps,Display layer objects,Step name,Text on off,View
0,"6,7,8,22",Betongeometrie,1,
1,"5,6,20,22",Kräfte auf Wandscheibe,1,
2,"2,3,5,6,20,22",Fachwerkmodell Wandscheibe ,1,
3,"3,5,6,8,22",Zugstreben Wandscheibe,1,
4,"3,5,6,8,9,22",Bewehrung Strebe A,1,
5,"3,5,6,8,10,22",Bewehrung Strebe B,1,
6,"3,5,6,8,11,22",Bewehrung Strebe C ,1,
7,"3,5,6,8,12,22",Bewehrung Strebe D,1,
8,"3,5,6,8,13,22",Bewehrung Strebe E,1,
9,"3,5,6,8,14,22",Bewehrung Strebe F,1,
10,"3,5,6,8,15,22",Bewehrung Strebe H,1,
11,"3,5,6,8,21,22",Konstruktive Bewehrung Wandscheibe,1,
12,"3,5,6,8,9,10,11,12,13,14,15,21,22",Bewehrung Wandscheibe,1,
13,"2,3,5,6,8,22",Kräfte auf Wandscheibe,1,
14,"4,8,22",Kräfte auf Hohlkasten,1,
15,"0,1,2,3,6,22",Fachwerkmodell komplett,1,
16,"0,1,4,22",Fachwerkmodell Hohlkasten,1,
17,"1,22",Zugstreben Hohlkasten,1,
18,"1,17,22",Bügelbewehrung Hohlkasten,1,
19,"1,16,22",Verteilte Längsbewehrung Hohlkasten,1,
20,"1,18,22",Bewehrung Gurt 1-0/0-3 Hohlkasten,1,
21,"1,19,22",Bewehrung Gurt 3-4/4-1 Hohlkasten,1,
22,"1,16,17,18,19,22",Bewehrung Hohlkasten,1,
23,"9,10,11,12,13,14,15,16,17,18,19,21,22",Bewehrung komplett,0,
