index,name,type,material,display_name_german
0,lines_sut_beam_strut,lines,green,Druckstreben Hohlkasten
1,lines_sut_beam_tie,lines,blue,Zugstreben Hohlkasten
2,lines_sut_wall_strut,lines,green,Druckstreben Wand
3,lines_sut_wall_tie,lines,blue,Zugstreben Wand
4,arrow_force_internal_beam,arrow,red,Einwirkungen Hohlkasten
5,arrow_force_internal_wall,arrow,red,Auflagerkräfte Wand
6,arrow_force_external,arrow,red,Äussere Last
7,mesh_concrete_wall,mesh,concrete,Beton Wand
8,mesh_concrete_beam,mesh,concrete,Beton Hohlkasten
9,mesh_reinforcement_wall_A,mesh,steel,Bewehrung Strebe A
10,mesh_reinforcement_wall_B,mesh,steel,Bewehrung Strebe B
11,mesh_reinforcement_wall_C,mesh,steel,Bewehrung Strebe C
12,mesh_reinforcement_wall_D,mesh,steel,Bewehrung Strebe D
13,mesh_reinforcement_wall_E,mesh,steel,Bewehrung Strebe E
14,mesh_reinforcement_wall_F,mesh,steel,Bewehrung Strebe F
15,mesh_reinforcement_wall_H,mesh,steel,Bewehrung Strebe H
16,mesh_reinforcement_beam_long,mesh,steel,Längsbewehrung Hohlkasten
17,mesh_reinforcement_beam_stirrups,mesh,steel,Bügelbewehrung Hohlkasten
18,mesh_reinforcement_beam_stringer_top,mesh,steel,Bewehrung Stringer oben
19,mesh_reinforcement_beam_stringer_bot,mesh,steel,Bewehrung Stringer unten
20,mesh_support,mesh,concrete,Umgebung 
21,mesh_reinforcement_wall_secondary,mesh,steel,Konstruktive Bewehrung 
22,mesh_wall_section,mesh,transparent,Wandabschnitt
23,Testtest,mesh,transparent,Testtest
24,Testtest,mesh,transparent,Testtest
25,Testtest,mesh,transparent,Testtest
26,Testtest,mesh,transparent,Testtest
27,Testtest,mesh,transparent,Testtest
28,Testtest,mesh,transparent,Testtest
29,Testtest,mesh,transparent,Testtest
30,Testtest,mesh,transparent,Testtest
31,Testtest,mesh,transparent,Testtest
